Fecha	Vista	
11/09/2018	297003544,16	
07/09/2018	209946362,69	
06/09/2018	155547503,40	
05/09/2018	50813846,16	
04/09/2018	82182018,70	
03/09/2018	12951680,72	
31/08/2018	268818042,56	
30/08/2018	158325794,89	
29/08/2018	186224275,58	
28/08/2018	8850268,12	
27/08/2018	222715290,68	
24/08/2018	152870370,74	
23/08/2018	152125221,65	
22/08/2018	152959881,09	
21/08/2018	74606367,59	
17/08/2018	299198433,94	
16/08/2018	24777422,19	
15/08/2018	143587913,34	
14/08/2018	97269754,86	
13/08/2018	53814945,60	
10/08/2018	110880606,82	
09/08/2018	224651586,32	
08/08/2018	85291977,00	
07/08/2018	37656685,00	
06/08/2018	137435624,07	
03/08/2018	23989596,85	
02/08/2018	210493757,60	
01/08/2018	273396010,15	
31/07/2018	99933669,42	
30/07/2018	105243886,81	
27/07/2018	189965785,25	
26/07/2018	230320229,72	
25/07/2018	211759877,30	
23/07/2018	217103582,93	
20/07/2018	146209415,61	
19/07/2018	37461022,80	
18/07/2018	79911539,97	
17/07/2018	139527642,18	
16/07/2018	220899329,38	
13/07/2018	128699389,63	
12/07/2018	1184525,19	
11/07/2018	145633087,28	
10/07/2018	262890995,69	
09/07/2018	245269395,95	
06/07/2018	35932773,16	
04/07/2018	218960591,30	
03/07/2018	139934033,77	
29/06/2018	90423582,42	
28/06/2018	60126337,14	
27/06/2018	279884681,48	
26/06/2018	20727539,17	
25/06/2018	6697515,16	
22/06/2018	241084373,45	
21/06/2018	283817161,21	
20/06/2018	177726855,70	
19/06/2018	206706410,11	
18/06/2018	69594526,59	
15/06/2018	5107400,93	
14/06/2018	98439411,40	
13/06/2018	135419758,05	
12/06/2018	195050079,00	
11/06/2018	28223600,94	
08/06/2018	295783397,98	
07/06/2018	181051356,25	
06/06/2018	276184504,30	
05/06/2018	189213556,45	
01/06/2018	204663342,76	
31/05/2018	82407860,06	
30/05/2018	2864983,29	
29/05/2018	3984095,16	
28/05/2018	84776610,50	
25/05/2018	238440679,31	
24/05/2018	260239749,49	
23/05/2018	239701725,32	
22/05/2018	10560089,06	
21/05/2018	144087196,58	
18/05/2018	264181714,65	
17/05/2018	75938298,51	
16/05/2018	176757161,78	
15/05/2018	281721943,07	
11/05/2018	294958789,04	
10/05/2018	72358178,90	
09/05/2018	138959670,30	
08/05/2018	189705285,95	
07/05/2018	221331611,82	
04/05/2018	92477016,85	
03/05/2018	257622031,74	
